Machine_ID,Fail_possibility,Failure Type,failure_probability
M15226,40.9,No Failure,0.4
M15227,38.3,No Failure,0.23
L47548,39.5,No Failure,0.17
H29783,36.1,No Failure,0.3
M15230,37.2,No Failure,0.38
L47551,38.1,No Failure,0.34
M15232,51.7,No Failure,0.08
L47553,42,No Failure,0.24
L47554,43,No Failure,0.06
L47555,37.4,No Failure,0.31
M15236,51.9,No Failure,0.35
M15237,53.9,No Failure,0.51
L47558,29.4,No Failure,0.31
L47559,26.8,No Failure,0.32
L47560,12.8,Power Failure,0.35
L47561,40.4,No Failure,0.3
L47562,48,No Failure,0.72
M15243,27,No Failure,0
L47564,26.8,No Failure,0.29
M15245,45.4,No Failure,0.29
L47566,50.9,No Failure,0.38
L47567,60.4,No Failure,0.47
L47568,48.2,No Failure,0.22
M15249,54.8,No Failure,0.02
L47570,46.7,No Failure,0.43
L47571,38.1,No Failure,0.4
M15252,43.4,No Failure,0.61
M15253,52.2,No Failure,0.17
L47574,39.9,No Failure,0.32
L47575,37.7,No Failure,0.47
L47576,42.6,No Failure,0.27
M15257,28.9,No Failure,0.13
H29812,43.6,No Failure,0.06
L47579,49.7,No Failure,0.28
L47580,16.9,No Failure,0.18
L47581,30.4,No Failure,0.29
L47582,32.3,No Failure,0.02
L47583,59.8,No Failure,0.46
L47584,45.9,No Failure,0.3
L47585,57.6,No Failure,0.24
L47586,51.9,No Failure,0.43
M15267,42.1,No Failure,0.22
M15268,44.4,No Failure,0.46
L47589,41.3,No Failure,0.5
M15270,44.9,No Failure,0.23
L47591,44.3,No Failure,0.31
L47592,48.2,No Failure,0.32
L47593,34.5,No Failure,0.87
L47594,32.5,No Failure,0.04
L47595,42.8,No Failure,0.22
L47596,37.8,No Failure,0.23
L47597,50.1,No Failure,0.51
L47598,17.7,No Failure,0.59
M15279,38.2,No Failure,0
M15280,39.6,No Failure,0.16
M15281,31.1,No Failure,0.02
L47602,55.2,No Failure,0.1
L47603,43.9,No Failure,0.16
L47604,45.7,No Failure,0.44
M15285,28.9,No Failure,0.66
L47606,44.9,No Failure,0
M15287,42.2,No Failure,0.26
M15288,36.9,No Failure,0.19
L47609,62.3,No Failure,0.2
L47610,37.1,No Failure,0.47
L47611,41.9,No Failure,0.29
M15292,39.7,No Failure,0.14
M15293,23.7,No Failure,0.17
M15294,44.7,No Failure,0.3
L47615,41.2,No Failure,0.09
L47616,36.3,No Failure,0.29
L47617,38.5,No Failure,0.29
L47618,52.2,No Failure,0.42
M15299,34.6,No Failure,0.24
L47620,39.2,No Failure,2.46
H29855,46.6,No Failure,0.16
L47622,61.5,Power Failure,0.13
H29857,45.1,No Failure,0.04
L47624,37.2,No Failure,0.17
L47625,26.7,No Failure,0.42
L47626,39,No Failure,0.01
M15307,59.9,No Failure,0.5
L47628,44.9,No Failure,0.27
L47629,37.9,No Failure,0.3
M15310,41.7,No Failure,0.08
H29865,46.1,No Failure,0.42
M15312,31,No Failure,0.07
L47633,36.2,No Failure,0.24
L47634,46.6,No Failure,0.22
L47635,57.4,No Failure,0.34
H29870,47.6,No Failure,0.14
L47637,53.6,No Failure,0.24
L47638,42.6,No Failure,0.29
L47639,42.3,No Failure,0.28
H29874,42,No Failure,0.22
L47641,40.2,No Failure,0.27
L47642,43.4,No Failure,0.16
L47643,4.2,Power Failure,0.47
L47644,35.7,No Failure,0.13
M15325,42.9,No Failure,0.07
L47646,41.5,No Failure,0.38
L47647,16.5,No Failure,0.31
L47648,31.6,No Failure,0.19
M15329,32.7,No Failure,1.09
H29884,44.2,No Failure,0.41
H29885,42.4,No Failure,0.53
M15332,41.8,No Failure,0.07
M15333,37,No Failure,0.13
L47654,49.8,No Failure,0.45
L47655,41.1,No Failure,0.13
L47656,37.9,No Failure,0.12
H29891,41.4,No Failure,0.45
L47658,22.6,No Failure,0.29
M15339,57.3,No Failure,0.38
L47660,32,No Failure,0.49
M15341,39.5,No Failure,0.15
L47662,37.4,No Failure,0.41
L47663,56.9,No Failure,0.26
L47664,33.7,No Failure,0.04
M15345,30.7,No Failure,0.15
M15346,35.9,No Failure,0.33
M15347,35,No Failure,0.37
L47668,42.8,No Failure,0.05
M15349,55.8,No Failure,0.27
L47670,37.9,No Failure,0.26
L47671,45.6,No Failure,0.3
L47672,43.5,No Failure,0.09
L47673,38.8,No Failure,0.33
L47674,49.8,No Failure,0.22
H29909,49.7,No Failure,0.22
M15356,40,No Failure,0.28
L47677,39.2,No Failure,0.45
L47678,30.2,No Failure,0.61
L47679,35.1,No Failure,0.2
M15360,27.4,No Failure,0.24
M15361,46.2,No Failure,0.28
L47682,43.3,No Failure,0.11
M15363,48.1,No Failure,0.31
M15364,41.9,No Failure,0.22
L47685,35,No Failure,0.22
L47686,34.3,No Failure,0.17
H29921,48.2,No Failure,0.11
L47688,24.6,No Failure,0.32
M15369,41.3,No Failure,0.07
L47690,37.5,No Failure,0.05
L47691,39.4,No Failure,0.14
L47692,44.8,No Failure,0.31
L47693,38.8,No Failure,0.42
L47694,33.2,No Failure,0.3
L47695,28,No Failure,0.28
L47696,29.9,No Failure,0.22
M15377,58.2,No Failure,0.43
L47698,20.6,No Failure,0.39
M15379,19.8,No Failure,0.09
L47700,36.2,No Failure,0.14
L47701,35.8,No Failure,0
M15382,43.7,No Failure,0.48
L47703,45.9,No Failure,0.3
L47704,35.4,No Failure,0.38
L47705,45.5,No Failure,0.26
L47706,50.6,No Failure,0.15
M15387,35.8,No Failure,0.18
M15388,42.4,No Failure,0.38
L47709,36.2,No Failure,0.11
M15390,32.2,No Failure,0.41
L47711,34.9,No Failure,0.01
L47712,45.4,No Failure,0.11
L47713,29.8,No Failure,0.48
L47714,33.4,No Failure,0.38
H29949,52.4,No Failure,0.34
L47716,24.8,No Failure,0.07
H29951,43,No Failure,0.36
M15398,36.8,No Failure,0.47
M15399,25.8,No Failure,0.25
L47720,45.5,No Failure,0.43
L47721,52.3,No Failure,0.24
L47722,24.7,No Failure,0.3
H29957,36.1,No Failure,0.3
M15404,26.6,No Failure,0.03
L47725,22.1,No Failure,0.07
L47726,24.3,No Failure,0.31
M15407,39.3,No Failure,0.23
L47728,53.2,No Failure,0.05
L47729,40.4,No Failure,0.24
L47730,29.4,No Failure,0.27
L47731,54.3,No Failure,0.1
M15412,35,No Failure,0.14
M15413,36,No Failure,0.47
H29968,45.3,No Failure,0.05
M15415,42.2,No Failure,0.16
L47736,50.1,No Failure,0.19
M15417,48.3,No Failure,0.18
L47738,34.6,No Failure,0.18
L47739,40.6,No Failure,0.24
L47740,58.2,No Failure,0.34
M15421,34.4,No Failure,0
L47742,30.9,No Failure,0.53
L47743,35.2,No Failure,0.26
H29978,32.1,No Failure,0.09
H29979,35.8,No Failure,0.26
M15426,33.7,No Failure,0.25
M15427,30.2,No Failure,0.14
L47748,22.1,No Failure,0.09
M15429,35.2,No Failure,0.26
L47750,41,No Failure,0.4
M15431,29,No Failure,0.22
L47752,49,No Failure,0.66
L47753,45,No Failure,0
M15434,41.7,No Failure,0.03
M15435,55.4,No Failure,0.24
H29990,51.1,No Failure,0.14
L47757,37.7,No Failure,0.65
L47758,36.8,No Failure,0.24
M15439,31.3,No Failure,0.41
M15440,25.5,No Failure,0.36
L47761,42.9,No Failure,0.25
L47762,49.2,No Failure,0.21
H29997,32.2,No Failure,0.23
H29998,48.2,No Failure,0.16
L47765,20.5,No Failure,0.19
L47766,49.8,Overstrain Failure,0.44
H30001,33.1,No Failure,0.14
L47768,33.4,No Failure,0.08
L47769,40.2,No Failure,0.43
L47770,36.7,No Failure,0.45
H30005,41.7,No Failure,0.35
H30006,27.9,No Failure,0.69
L47773,50.7,No Failure,0.28
H30008,50.4,No Failure,0.27
M15455,53.1,No Failure,0.18
M15456,37.3,No Failure,0.26
H30011,46.6,No Failure,0.22
L47778,47.9,No Failure,0.28
H30013,31.1,No Failure,0.22
L47780,37.3,No Failure,0.35
L47781,16.8,No Failure,0.07
L47782,21.3,No Failure,0
L47783,71.6,Power Failure,0.22
L47784,33.8,No Failure,0.07
M15465,29.9,No Failure,0.25
L47786,50.5,No Failure,0.2
M15467,33.9,No Failure,0.03
L47788,47.7,No Failure,0.22
L47789,32.5,No Failure,0.06
L47790,33.7,No Failure,0.24
L47791,40.9,No Failure,1.51
L47792,32.8,No Failure,0.52
L47793,30,No Failure,0.19
M15474,45.2,No Failure,2.05
L47795,30.4,No Failure,0.01
H30030,29.1,No Failure,0.39
M15477,43.1,No Failure,0.09
H30032,44.2,No Failure,0.23
L47799,44.7,No Failure,0.15
M15480,49.6,No Failure,0.39
L47801,45.3,No Failure,0.25
M15482,32,No Failure,0.13
L47803,23.7,No Failure,0.27
H30038,37.6,No Failure,0.21
L47805,36.3,No Failure,0.17
L47806,35.2,No Failure,0.07
L47807,42.2,No Failure,0.2
M15488,57.8,No Failure,0.31
L47809,45.9,No Failure,0.02
L47810,47.6,No Failure,0.06
L47811,37.3,No Failure,0.07
H30046,47.1,No Failure,0.22
L47813,43.9,No Failure,0.59
L47814,41.6,No Failure,0.18
L47815,23.9,No Failure,0.1
L47816,43.9,No Failure,0.23
L47817,37.4,No Failure,0.08
L47818,37.3,No Failure,0.05
L47819,51.3,No Failure,0.41
M15500,38.8,No Failure,0.06
L47821,47.9,No Failure,0.08
M15502,58.7,No Failure,0.14
M15503,36.5,No Failure,0.22
H30058,30.2,No Failure,1.68
L47825,44.1,No Failure,0.26
M15506,43.7,No Failure,0.07
L47827,36.9,No Failure,0.03
H30062,48.9,No Failure,0
M15509,28.8,No Failure,0.07
L47830,33.1,No Failure,0.36
L47831,38.9,No Failure,0.18
L47832,44.5,No Failure,0.22
L47833,20.1,No Failure,0.1
L47834,30.9,No Failure,0.4
L47835,38.8,No Failure,0.2
M15516,28.1,No Failure,0.07
L47837,58.6,No Failure,0.39
L47838,36.8,No Failure,0.18
L47839,49.1,No Failure,0.02
M15520,27.4,No Failure,0.36
M15521,45.6,No Failure,0.37
M15522,38.1,No Failure,0.19
L47843,44,No Failure,0.3
L47844,47.4,No Failure,0.18
L47845,28.1,No Failure,0
L47846,43.5,No Failure,0.3
L47847,48.5,No Failure,0.26
L47848,24,No Failure,0.21
H30083,37.7,No Failure,0.22
L47850,25.4,No Failure,0.05
L47851,34.8,No Failure,0.23
M15532,43.2,No Failure,0.08
L47853,47.7,No Failure,0.01
L47854,41.2,No Failure,0.2
M15535,45.5,No Failure,0.2
H30090,34.7,No Failure,1.41
L47857,39.7,No Failure,0.24
M15538,61.2,No Failure,0.21
L47859,47.3,No Failure,0.2
M15540,42.6,No Failure,0.17
M15541,33.2,No Failure,0.24
H30096,48.8,No Failure,0.19
L47863,24.4,No Failure,0.07
L47864,43.2,No Failure,0.14
M15545,29.7,No Failure,0.32
M15546,40.4,No Failure,0.13
M15547,42.4,No Failure,0.09
H30102,26.4,No Failure,0.01
H30103,55.6,No Failure,0.1
H30104,40.2,No Failure,0.21
L47871,39.3,No Failure,0.29
L47872,42.1,No Failure,0.18
L47873,38.3,No Failure,0.31
L47874,50,No Failure,0.13
L47875,45.4,No Failure,0.34
M15556,25.3,No Failure,0.1
M15557,39.7,No Failure,0.26
L47878,40.2,No Failure,0.2
H30113,39.2,No Failure,0
M15560,31.6,No Failure,0.02
L47881,40.1,No Failure,1.82
M15562,48.3,No Failure,0.37
H30117,40.9,No Failure,0.36
L47884,33.7,No Failure,0.18
L47885,38.2,No Failure,0.12
M15566,43.3,No Failure,0.31
L47887,27.3,No Failure,0.24
M15568,45.9,No Failure,0.04
M15569,49.7,No Failure,0.09
M15570,28.1,No Failure,0.3
L47891,46.2,No Failure,0.23
L47892,37.6,No Failure,0.21
L47893,46.4,No Failure,0.32
L47894,36.2,No Failure,0.13
L47895,59.1,No Failure,0.08
H30130,45.8,No Failure,0.06
L47897,36.9,No Failure,0.17
L47898,39,No Failure,0.11
L47899,58.1,No Failure,0.32
L47900,23.8,No Failure,0.13
L47901,30.9,No Failure,0.11
L47902,44.7,No Failure,0.03
M15583,46.3,No Failure,0.21
L47904,44.6,No Failure,0.28
L47905,34.2,No Failure,0.16
M15586,37.4,No Failure,0.31
H30141,37.6,No Failure,0.18
M15588,50.3,No Failure,0.13
L47909,37.7,No Failure,0.21
M15590,50.7,No Failure,0.19
M15591,53,No Failure,0.19
L47912,22.1,No Failure,0.28
M15593,42,No Failure,0.18
H30148,54.6,No Failure,0.02
L47915,32.4,No Failure,0.17
L47916,38.2,No Failure,0.23
H30151,39.2,No Failure,0
L47918,45.9,No Failure,0.21
L47919,41.8,No Failure,0.23
M15600,46.9,No Failure,0.33
L47921,38.8,No Failure,0.22
L47922,34.7,No Failure,0.08
L47923,53.8,No Failure,0.05
L47924,40.9,No Failure,0.13
L47925,50.7,No Failure,0.45
L47926,62,Overstrain Failure,0.01
L47927,48.3,No Failure,0.06
H30162,46.3,No Failure,0.17
L47929,22.3,No Failure,0.13
L47930,36.8,No Failure,0.12
M15611,24.2,No Failure,0.06
L47932,48.7,No Failure,0.2
L47933,40.4,No Failure,0.03
M15614,44.3,No Failure,0.02
H30169,43.7,No Failure,0.1
L47936,40.4,No Failure,0.18
L47937,33.7,No Failure,0.08
L47938,41.7,No Failure,0.32
M15619,36.3,No Failure,0
L47940,39.4,No Failure,0.14
L47941,34.6,No Failure,0.59
M15622,60.5,No Failure,0.03
L47943,47.5,No Failure,0
L47944,56.5,No Failure,0.1
L47945,53.9,No Failure,0.1
L47946,38.3,No Failure,0.02
L47947,31.1,No Failure,0.27
L47948,29.3,No Failure,0.08
L47949,44.5,No Failure,0.05
L47950,54.4,No Failure,0.33
H30185,58.6,No Failure,0.21
H30186,51,No Failure,0.09
L47953,39.4,No Failure,0.11
L47954,48.8,No Failure,0.09
L47955,46,No Failure,0.04
L47956,39.2,No Failure,0.18
L47957,47.5,No Failure,0.29
L47958,32.2,No Failure,0.03
L47959,29.8,No Failure,0.26
M15640,50.7,No Failure,0.09
L47961,29.7,No Failure,0.13
L47962,30.8,No Failure,0.2
H30197,33.4,No Failure,0.13
L47964,27.9,No Failure,0.15
M15645,44.8,No Failure,0.04
L47966,28.8,No Failure,0.22
L47967,45.3,No Failure,0.07
M15648,46.3,No Failure,0.18
M15649,33.3,No Failure,0.17
L47970,45.4,No Failure,0.19
L47971,35.4,No Failure,0.14
L47972,42.9,No Failure,0.2
M15653,31.8,No Failure,0.18
H30208,32.6,No Failure,0.13
L47975,37,No Failure,0.12
M15656,18.9,No Failure,0.22
L47977,40.1,No Failure,0.32
M15658,24.6,No Failure,0.25
M15659,34.1,No Failure,0
M15660,24.2,No Failure,0.27
L47981,52.1,No Failure,0.39
L47982,35,No Failure,0.2
H30217,37.8,No Failure,0.06
M15664,37.6,No Failure,0.36
M15665,47.4,No Failure,0
M15666,53,No Failure,0.11
L47987,22.8,No Failure,0.35
L47988,43.3,No Failure,0.08
L47989,45.7,No Failure,0.26
L47990,39.7,No Failure,0.19
L47991,37.6,No Failure,0.23
L47992,44.4,No Failure,0.07
L47993,40,No Failure,0.22
M15674,45.9,No Failure,0.34
M15675,36.7,No Failure,0.19
L47996,48.3,No Failure,0.08
L47997,52,No Failure,0.1
L47998,48.7,No Failure,0.13
L47999,46.7,No Failure,0.25
L48000,37.4,No Failure,0.13
L48001,41.7,No Failure,0.37
M15682,34.7,No Failure,0.19
M15683,39.9,No Failure,0.25
L48004,42.8,No Failure,0
L48005,40,No Failure,0.06
L48006,38.2,No Failure,0.35
L48007,42.1,No Failure,0.05
